,Rep.1,Rep.2,Rep.3,Rep.4
ENSMUSG00000020525,5.7781415,6.068741028080109,6.127033219300166,6.103255681665679
ENSMUSG00000020526,6.44389,6.404286055011212,6.399673892535045,6.408005380705307
ENSMUSG00000020527,4.930769,5.1248219181533035,5.336121677672721,5.58215630923328
ENSMUSG00000020528,6.362877,6.356225697416892,6.652029926623247,6.74928904646941
ENSMUSG00000020530,6.8428836,6.9793550685139545,7.13724874404083,7.184394794680473
ENSMUSG00000020532,6.7518644,7.004776972713967,7.004514049519541,7.094536379977725
ENSMUSG00000020534,4.2656,4.33754462283018,4.43275288046423,4.656687587799539
ENSMUSG00000020536,6.2866306,6.413864108496918,6.598046334974944,6.661656317577927
ENSMUSG00000020537,6.0027146,5.951696998676524,6.170269133555508,6.138115072749739
ENSMUSG00000020538,5.515537,5.7195251143304695,5.876946715104813,5.909653690876975
ENSMUSG00000020541,5.2068133,5.340855612076003,5.61569296875406,5.76187373166433
ENSMUSG00000020544,6.0223,6.147708784993623,6.224955803997364,6.244703747395872
ENSMUSG00000020546,5.115653,5.235023188082402,5.327090995918594,5.415876242425376
ENSMUSG00000020547,7.912683,7.9220556687887225,8.175675464485845,8.197333498030558
ENSMUSG00000020549,5.803512,5.873377844057208,6.035433099689953,6.021606198531349
ENSMUSG00000020553,2.0428038,1.721185894120185,1.729093397115268,1.8453221448132593
ENSMUSG00000020561,5.1430483,5.232012638146788,5.478832814345409,5.4271488298864075
ENSMUSG00000020562,4.8679547,4.867635270756158,4.858007400367798,4.607827632072952
ENSMUSG00000020564,5.614534,5.673550917072096,5.850391183061413,6.027574897722898
ENSMUSG00000020566,3.5997386,3.715864396399387,3.367484047851246,3.5747323950900634
ENSMUSG00000020570,6.028218,6.140423331703256,6.320531590344763,6.4849718507595675
ENSMUSG00000020571,7.521463,7.5710166293454195,7.787681535083175,7.916919007943239
ENSMUSG00000020572,6.40925,6.510047874244188,6.741141637969935,6.807506864129412
ENSMUSG00000020573,2.8278553,2.7433287830910187,3.500051601117821,3.001758562131506
ENSMUSG00000020576,5.6516113,5.568509075477554,5.7175129536859535,5.737605521867024
ENSMUSG00000020577,7.8737874,7.974846917927383,8.200324994665692,8.239207898183551
ENSMUSG00000020580,6.5166183,6.5525737958658095,6.819664417747905,6.871332873473924
ENSMUSG00000020585,8.186205,8.318077016227777,8.428586721919963,8.445186435641153
ENSMUSG00000020589,7.487413,7.559776578215701,7.72780459680667,7.856731462053318
ENSMUSG00000020590,6.1983404,6.4133142633621105,6.549330059785282,6.648436664778476
ENSMUSG00000020591,3.522592,3.492538072550657,3.815767371498672,3.8425219143915705
ENSMUSG00000020592,5.359786,5.597032897005889,5.7101894168780145,5.703535760468248
ENSMUSG00000020593,5.3664694,5.454752335510778,5.544256009117289,5.787059317365275
ENSMUSG00000020594,7.638103,7.769287632823449,7.945510110298732,8.075464849918841
